TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20220101221372,3,15,22,1,0,0,0
20220101221374,1,30,18,2,0,0,0
20220101221374,2,32,20,1,0,0,0
20220101221374,3,6,22,1,0,0,0
20220101221374,4,3,22,2,0,0,0
20220101221374,5,0,22,2,0,0,0
20220101221377,1,69,19,1,0,0,0
20220101221402,1,44,18,1,0,0,0
20220101221402,2,36,20,2,0,0,0
20220101221402,3,3,22,1,0,0,0
20220101221402,4,1,22,2,0,0,0
20220101221404,1,54,18,2,0,0,0
20220101221404,2,48,20,1,0,0,0
20220101221404,3,9,23,2,0,0,0
20220101221404,4,2,23,2,0,0,0
20220101221407,1,45,18,1,0,0,0
20220101221407,2,44,20,2,0,0,0
20220101221437,1,70,19,1,0,0,0
20220101221443,1,72,19,2,0,0,0
20220101221461,1,47,19,2,0,0,0
20220101221469,1,62,19,1,0,0,0
20220101221492,1,73,18,2,0,0,0
20220101221492,2,74,20,1,0,0,0
20220101221508,1,77,19,2,0,0,0
20220101221524,1,35,19,1,0,0,0
20220101221529,1,80,18,2,0,0,0
20220101221529,2,80,20,1,0,0,0
20220101221534,1,40,18,2,0,0,0
20220101221534,2,7,22,1,0,0,0
20220101221546,1,36,19,2,0,0,0
20220101221581,1,26,19,1,0,0,0
20220101221589,1,61,18,2,0,0,0
20220101221589,2,35,22,2,0,0,0
20220101221591,1,66,18,2,0,0,0
20220101221591,2,62,20,1,0,0,0
20220101221593,1,85,18,2,60,0,0
20220101221593,2,85,20,1,60,0,0
20220101221604,1,57,18,2,0,0,0
20220101221604,2,54,20,1,0,0,0
20220101221609,1,62,18,2,0,0,0
20220101221609,2,64,20,1,0,0,0
20220101221618,1,64,18,2,0,0,0
20220101221618,2,66,20,1,0,0,0
20220101221618,3,29,22,2,0,0,0
20220101221618,4,26,22,2,0,0,0
20220101221618,5,7,23,1,0,0,0
20220101221622,1,58,19,2,0,0,0
20220101221622,2,57,21,1,0,0,0
20220101221630,1,60,19,2,0,0,0
20220101221630,2,51,20,1,0,0,0
20220101221630,3,16,22,2,0,0,0
20220101221649,1,67,19,1,0,0,0
20220101221687,1,25,19,1,0,0,0
20220101221704,1,68,18,1,0,0,0
20220101221704,2,56,26,2,0,0,0
20220101221706,1,78,18,1,0,0,0
20220101221706,2,79,20,2,0,0,0
20220101221723,1,60,19,1,0,0,0
20220101221726,1,37,18,2,0,0,0
20220101221726,2,39,20,1,0,0,0
20220101221726,3,2,22,2,0,0,0
20220101221754,1,50,18,2,0,0,0
20220101221754,3,15,22,1,0,0,0
20220101221754,4,12,22,1,0,0,0
20220101221754,5,7,22,2,0,0,0
20220101221765,1,48,18,2,0,0,0
20220101221765,2,59,20,1,0,0,0
20220101221765,3,23,22,1,0,0,0
20220101221765,4,20,22,1,0,0,0
20220101221770,1,63,18,2,0,0,0
20220101221770,2,65,20,1,0,0,0
20220101221795,1,23,19,2,0,0,0
20220101221816,1,50,18,1,0,0,0
20220101221816,2,38,20,2,0,0,0
20220101221816,3,2,22,2,0,0,0
20220101221816,4,1,22,2,0,0,0
20220101221824,1,36,18,2,0,0,0
20220101221824,2,38,20,1,0,0,0
20220101221824,3,9,22,1,0,0,0
20220101221824,4,8,22,2,0,0,0
20220101221839,1,50,18,1,0,0,0
20220101221839,2,50,20,2,0,0,0
20220101221846,1,38,19,1,0,0,0
20220101221880,1,85,19,2,60,0,0
20220101221908,1,32,18,1,0,0,0
20220101221908,2,29,20,2,0,0,0
20220101221908,3,1,22,1,0,0,0
20220101221913,1,29,19,1,0,0,0
20220101221916,1,67,18,1,0,0,0
20220101221916,2,66,20,2,0,0,0
20220101221918,1,41,18,1,0,0,0
20220101221918,2,43,20,2,0,0,0
20220101221932,1,60,18,1,0,0,0
20220101221932,2,85,24,2,60,0,0
20220101221951,1,71,18,2,0,0,0
20220101221951,2,71,20,1,0,0,0
20220101221952,1,45,19,1,0,0,0
20220101222005,1,33,19,1,0,0,0
20220101222006,1,45,18,2,0,0,0
20220101222006,2,46,20,1,0,0,0
20220101222006,3,16,22,2,0,0,0
20220101222006,4,13,22,1,0,0,0
20220101222006,5,6,22,2,0,0,0
20220101222063,1,57,18,2,0,0,0
20220101222063,2,62,20,1,0,0,0
20220101222070,1,57,18,2,0,0,0
20220101222070,2,36,20,1,0,0,0
20220101222071,1,40,18,1,0,0,0
20220101222071,2,38,20,2,0,0,0
20220101222071,3,15,22,1,0,0,0
20220101222071,4,13,22,2,0,0,0
20220101222071,5,2,22,2,0,0,0
20220101222094,1,52,19,1,0,0,0
20220101222094,2,80,24,1,60,0,0
20220101222094,3,80,24,2,60,0,0
20220101222108,1,42,18,2,0,0,0
20220101222108,2,44,20,1,0,0,0
20220101222108,3,15,22,1,0,0,0
20220101222108,4,13,22,2,0,0,0
20220101222110,1,68,18,2,0,0,0
20220101222110,2,44,22,1,0,0,0
20220101222114,1,80,19,1,0,0,0
20220101222120,1,61,18,2,0,0,0
20220101222120,2,67,20,1,0,0,0
20220101222126,1,40,18,2,0,0,0
20220101222126,2,51,20,1,0,0,0
20220101222126,3,8,22,1,0,0,0
20220101222126,4,78,25,2,0,0,0
20220101222126,5,78,25,1,0,0,0
20220101222126,6,39,25,2,0,0,0
20220101222133,1,60,18,1,0,0,0
20220101222133,2,49,20,2,0,0,0
20220101222135,1,33,18,2,0,0,0
20220101222135,2,35,20,1,0,0,0
20220101222149,1,80,19,1,0,0,0
20220101222169,1,85,19,2,60,0,0
20220101222172,1,39,18,1,0,0,0
20220101222172,2,30,20,2,0,0,0
20220101222172,3,0,22,2,0,0,0
20220101222178,1,61,19,1,0,0,0
20220101222181,1,54,18,1,0,0,0
20220101222181,2,50,20,2,0,0,0
